product_name	product_image_link	product_rating
WeCool Mr.Bass W004 in-Ear Wired Earphones with Mic,Deep Bass HD Sound Mobile Headset with Noise Cancellation,Mobile Phone headsets,Ear Phone with mic and Free Carry Case (Black)	https://m.media-amazon.com/images/I/610px0X-vVL._AC_UY218_ML3_.jpg	4 Stars & Up
ERD Earphone Built-in-mic Smart Earbuds (Black)	https://m.media-amazon.com/images/I/41fG33i2HeL._AC_UY218_ML3_.jpg	3 Stars & Up
Samsung SSLION12 In-Ear Earphones with Mic (White)	https://m.media-amazon.com/images/I/11r4M-ME+2L._AC_UY218_ML3_.jpg	2 Stars & Up
boAt BassHeads 100 in-Ear Headphones with Mic (Black)	https://m.media-amazon.com/images/I/719elVA3FvL._AC_UY218_ML3_.jpg	1 Star & Up
Oxhox Bluetooth V5.1 Wireless Compatible with redmi and Realme Headset and All The Smart Phone Bluetooth Headset with Mic	https://m.media-amazon.com/images/I/41SINHnZvvL._AC_UY218_ML3_.jpg	3.8 out of 5 stars
boAt BassHeads 100 Hawk Inspired Earphones with Mic (Taffy Pink)	https://m.media-amazon.com/images/I/719sf-DtkvL._AC_UY218_ML3_.jpg	3.0 out of 5 stars
Deep Bass Metal Plugs in-Ear Earphones Compatible for Reliance Jio Lyf Wind 6 -Black	https://m.media-amazon.com/images/I/61PV5Q++DVL._AC_UY218_ML3_.jpg	3.2 out of 5 stars
S6 Wireless Bluetooth Earphone/Headphone with Noise Isolation,Thunder Beats Stereo Sound with Mic for All Android Phones & Smartphones	https://m.media-amazon.com/images/I/31qSccJT7AL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
RiaTech Gold Plated 2 Male to 1 Female 3.5mm Headphone Earphone Mic Audio Y Splitter Cable for PC Laptop \u2013 Black	https://m.media-amazon.com/images/I/61od3ihWUnL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
DAHSHA Gold Plated 3.5mm Stereo Female to 2 Male Y-Splitter AUX Cable with Separate Headphone/Earphone/Microphone(Black)	https://m.media-amazon.com/images/I/610azcjibOL._AC_UY218_ML3_.jpg	4.0 out of 5 stars
Storite 3.5mm Jack 1 Male to 2 Female Stereo Headphone Earphone Jack Y Splitter Audio Adapter Cable (Black)	https://m.media-amazon.com/images/I/719i6AjFgoL._AC_UY218_ML3_.jpg	4.0 out of 5 stars
RiaTech 2 Pack Gold Plated 3.5mm 2 Male to 1 Female Headphone Earphone Mic Audio Y Splitter Cable- Black	https://m.media-amazon.com/images/I/71aOgpjxBbL._AC_UY218_ML3_.jpg	4.0 out of 5 stars
Kinsound 3.5mm Aux Cable (Hi-Fi Sound) Stereo Male to Male Audio Cable with Gold Plated Connectors, Black(1 Meter)	https://m.media-amazon.com/images/I/31RTW48T4ZL._AC_UY218_ML3_.jpg	3.8 out of 5 stars
AmazonBasics Male to Female Stereo Audio Cable (Aux Extension Cable) with Gold Plated Connectors- 12 Feet (3.5mm)	https://m.media-amazon.com/images/I/610AEeQWTQL._AC_UY218_ML3_.jpg	4.0 out of 5 stars
AmazonBasics Male to Female Stereo Audio Cable (Aux Extension Cable) with Gold Plated Connectors- 12 Feet (3.5mm)	https://m.media-amazon.com/images/I/610AEeQWTQL._AC_UY218_ML3_.jpg	3.9 out of 5 stars
Storite 16 Foot 3.5 mm Male To 3.5 mm Female Jack Extension Stereo Audio Cable (5M Aux Extension Cable)	https://m.media-amazon.com/images/I/71DsuVQDvEL._AC_UY218_ML3_.jpg	4.5 out of 5 stars
AmazonBasics Male to Female Stereo Audio Cable (Aux Extension Cable) with Gold Plated Connectors- 6 Feet (3.5mm)	https://m.media-amazon.com/images/I/71F4Q2qJs0L._AC_UY218_ML3_.jpg	4.5 out of 5 stars
BOTON 3.5 mm Female to 2 Dual 3.5 mm Male Earphone Mic Audio Y Splitter Cable for Smartphone Headset to PC Adapter	https://m.media-amazon.com/images/I/41ADaT16zFL._AC_UY218_ML3_.jpg	3.6 out of 5 stars
Amazing_Deal Earphones with Ultra Bass and Dolby Sound 0.33 mm Jack for All Samsung/Android/iOS Devices (White)	https://m.media-amazon.com/images/I/31y8WzVbOuL._AC_UY218_ML3_.jpg	4.5 out of 5 stars
Mi Earphone Basic with Ultra deep bass and mic (Blue)	https://m.media-amazon.com/images/I/610co8JoMtL._AC_UY218_ML3_.jpg	3.7 out of 5 stars
Philips SHE1405WT/94 in-Ear Headphones with Mic (White)	https://m.media-amazon.com/images/I/31JxcroUUoL._AC_UY218_ML3_.jpg	5.0 out of 5 stars
Philips SHE2305WT/00 Upbeat inear Earphone with Mic (White)	https://m.media-amazon.com/images/I/61z6+AFh-oL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
JBL C100SI In-Ear Deep Bass Headphones with Mic (Black)	https://m.media-amazon.com/images/I/61ptzNC8r8L._AC_UY218_ML3_.jpg	3.7 out of 5 stars
boAt BassHeads 162 with HD Sound, in-line mic, Dual Tone Secure Braided Cable & 3.5mm Angled Jack Wired Earphones (Black)	https://m.media-amazon.com/images/I/61v6IaSVylL._AC_UY218_ML3_.jpg	3.8 out of 5 stars
Nekosta Bluetooth 5.0 Earphones 5 Hours Playtime, Wireless Heaphones with Mic Stereo Call 3D Sound in Ear Wireless Sport Earphone(Very Color)	https://m.media-amazon.com/images/I/41mQWdpZXpL._AC_UY218_ML3_.jpg	4.0 out of 5 stars
New 3.5mm Male To Female Stereo Audio Extension Cable 3 Meters (10 Feet)	https://m.media-amazon.com/images/I/71hg-39nt-L._AC_UY218_ML3_.jpg	4.1 out of 5 stars
Secro 6.35mm Male To 3.5mm Female Stereo Jack Headphone Adapter Converter - (Pack Of 2)	https://m.media-amazon.com/images/I/31GB4D7bTRL._AC_UY218_ML3_.jpg	5.0 out of 5 stars
